Berço,IMO,Navio,Operação,Bordo,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualização
B099,9396127,STAR KIRKENES,EXPORTAÇÃO,BORESTE,209,49.924,CELULOSE,30.000,8,WILSON SONS SHIPPING SERVICES LTDA,19/06/23
B100,9718038,ETRON,EXPORTAÇÃO,BORESTE,229,81.080,SOJA,62.700,7.3,FERTIMPORT,19/06/23
B101,9526710,RADIUS,IMPORTAÇÃO,BORESTE,178,36.976,FERTILIZANTES,28.900,10,WILHELMSEN PORT SERVICES BRASIL LTDA,19/06/23
B102,9798337,JINLING CONFIDENCE,IMPORTAÇÃO,BORESTE,180,40.320,STEEL PIPES,13.302,10.6,ORION RODOS,19/06/23
B103,9603142,SSI SURPRISE,EXPORTAÇÃO,BOMBORDO,229,81.630,SOJA,69.300,7,ALPHAMAR,19/06/23
B104,9402782,OCEAN ELECTRA,IMPORTAÇÃO,BOMBORDO,183,47.377,OLEO.COMBUSTÍVEL,7.500,10.6,LACHMANN,19/06/23
B099,9692674,VAN LEOPARD,IMPORTAÇÃO,BORESTE,198,60.263,CLINQUER,47.100,11.5,LBH BRASIL,22/06/23
B101,9737060,KOUSHUN,IMPORTAÇÃO,BORESTE,200,60.297,OUTROS,5.250,9,WILSON SONS SHIPPING SERVICES LTDA,22/06/23
B102,9848077,SSI SPLENDID,IMPORTAÇÃO,BOMBORDO,200,63.510,SSP,10.800,11.5,ROCHAMAR,22/06/23
B103,9456343,JAG RISHI,EXPORTAÇÃO,BORESTE,190,56.719,FARELO,45.000,6,FERTIMPORT,22/06/23
B104,9489924,JOSE ALENCAR,EXPORTAÇÃO,BOMBORDO,183,48.573,GASOLINAS,17.600,8,LACHMANN,22/06/23
B105,9583172,SEA BIRD,EXPORTAÇÃO,BORESTE,229,82.177,SOJA,69.400,7.13,CARGONAVE,22/06/23
B106,9547697,OLAVO BILAC,IMPORTAÇÃO,BOMBORDO,249,114.481,DIESEL,50.000,13.8,LACHMANN,22/06/23
B108,9717773,JENNINGS BAY,IMPORTAÇÃO,BOMBORDO,183,49.990,GASOLINA,50.000,11,LACHMANN,22/06/23
B099,9692674,VAN LEOPARD,IMPORTAÇÃO,BORESTE,198,60.263,CLINQUER,47.100,11.5,LBH BRASIL,23/06/23
B100,9523263,OINOUSSIAN VIGOUR,EXPORTAÇÃO,BORESTE,227,82.167,SOJA,70.770,6,LBH BRASIL,23/06/23
B101,9801160,AMBER STAR,IMPORTAÇÃO,BORESTE,180,37.692,FERTILIZANTES,32.800,10.54,AMART SERVICES,23/06/23
B102,9596844,BARBOSA LIMA SOBRINHO,IMPORTAÇÃO,BORESTE,118,5.095,GLP,3.500,7,LACHMANN,23/06/23
B103,9949053,YASA PEARL,EXPORTAÇÃO,BORESTE,230,85.249,SOJA,71.400,6,LBH BRASIL,23/06/23
B104,9459060,NAVE ATRIA,EXPORTAÇÃO,BORESTE,183,49.992,GASOLINA,43.579,8,LACHMANN,23/06/23
B105,9583172,SEA BIRD,EXPORTAÇÃO,BORESTE,229,82.177,SOJA,69.400,7.13,CARGONAVE,23/06/23
B106,9547697,OLAVO BILAC,IMPORTAÇÃO,BOMBORDO,249,114.481,DIESEL,50.000,13.8,LACHMANN,23/06/23
B099,9692674,VAN LEOPARD,IMPORTAÇÃO,BORESTE,198,60.263,CLINQUER,47.100,11.5,LBH BRASIL,24/06/23
B100,9523263,OINOUSSIAN VIGOUR,EXPORTAÇÃO,BORESTE,227,82.167,SOJA,70.770,6,LBH BRASIL,24/06/23
B101,9801160,AMBER STAR,IMPORTAÇÃO,BORESTE,180,37.692,FERTILIZANTES,32.800,10.54,AMART SERVICES,24/06/23
B102,9596844,BARBOSA LIMA SOBRINHO,IMPORTAÇÃO,BORESTE,118,5.095,GLP,3.500,7,LACHMANN,24/06/23
B103,9949053,YASA PEARL,EXPORTAÇÃO,BORESTE,230,85.249,SOJA,71.400,6,LBH BRASIL,24/06/23
B104,9459060,NAVE ATRIA,EXPORTAÇÃO,BORESTE,183,49.992,GASOLINA,43.579,8,LACHMANN,24/06/23
B105,9628128,HANDY PERTH,EXPORTAÇÃO,BORESTE,180,35.177,CONCENTRADO.COBRE,27.500,8,GEM,24/06/23
B106,9547697,OLAVO BILAC,IMPORTAÇÃO,BOMBORDO,249,114.481,DIESEL,50.000,13.8,LACHMANN,24/06/23
B108,9416836,FLUMAR BRASIL,EXPORTAÇÃO,BORESTE,183,51.188,DIESEL S 10,48.525,10,LACHMANN,24/06/23
B099,9692674,VAN LEOPARD,IMPORTAÇÃO,BORESTE,198,60.263,CLINQUER,47.100,11.5,LBH BRASIL,27/06/23
B100,9774850,SPAR NORMA,EXPORTAÇÃO,BORESTE,200,63.165,SOJA,51.930,7,ALPHAMAR,27/06/23
B101,9801160,AMBER STAR,IMPORTAÇÃO,BORESTE,180,37.692,FERTILIZANTES,32.800,10.54,AMART SERVICES,27/06/23
B102,9803417,WECO KAROLINE,IMPORTAÇÃO,BORESTE,180,38.905,MES9,19.000,6.78,ROCHAMAR,27/06/23
B103,9785988,DUKE SANTOS,EXPORTAÇÃO,BOMBORDO,229,81.982,SOJA,69.300,7.87,ALPHAMAR,27/06/23
B105,9307578,SPAR SCORPIO,EXPORTAÇÃO,BORESTE,190,53.168,COBRE,43.100,5,WILHELMSEN PORT SERVICES BRASIL LTDA,27/06/23
B106,9761956,SUNRISE,IMPORTAÇÃO,BOMBORDO,228,74.043,GASOLINA,82.180,12.7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,27/06/23
B108,9461702,HAFNIA PHOENIX,TRANSBORDO,BORESTE,183,49.999,GASOLINA,31.180,7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,27/06/23
B099,9107306,PINE ARROW,EXPORTAÇÃO,BORESTE,190,48.041,CELULOSE,40.500,7.2,WILSON SONS SHIPPING SERVICES LTDA,06/07/23
B100,9597123,YASA FALCON,EXPORTAÇÃO,BORESTE,229,81.488,SOJA,69.300,7.1,L.M.A. SHIPPING & CONSULTING,06/07/23
B101,9748368,LA STELLA,IMPORTAÇÃO,BORESTE,200,61.250,MOP,27.060,10.9,ORION RODOS,06/07/23
B102,9569968,MANDARIN SINGAPORE,IMPORTAÇÃO,BORESTE,190,56.724,CALCARIO,40.000,11.3,WILHELMSEN PORT SERVICES BRASIL LTDA,06/07/23
B103,9758404,STALO,EXPORTAÇÃO,BORESTE,229,81.802,SOJA,71.102,6,LBH BRASIL,06/07/23
B104,9489895,CELSO FURTADO,IMPORTAÇÃO,BOMBORDO,183,48.300,DIESEL S 500,39.900,12,LACHMANN,06/07/23
B105,9687186,NORD PENGUIN,EXPORTAÇÃO,BOMBORDO,229,81.841,MILHO,72.864,7.45,ALPHAMAR,06/07/23
B106,9343209,TORM CAVATINA,IMPORTAÇÃO,BORESTE,183,46.067,OUTRAS,26.482,8,WILSON SONS SHIPPING SERVICES LTDA,06/07/23
B108,9753703,HAFNIA TANZANITE,IMPORTAÇÃO,BOMBORDO,183,44.999,GASOLINAS,35.974,11.2,LACHMANN,06/07/23
B099,9727182,LOWLANDS HOPE,IMPORTAÇÃO,BORESTE,200,60.063,OUTS.ADUBOS/FERTILIZ.MINER.QUIM.C/NITROGENIO,19.600,10.5,WILSON SONS SHIPPING SERVICES LTDA,10/07/23
B100,9422940,MYRSINI,EXPORTAÇÃO,BORESTE,229,82.117,SOJA,66.000,7.2,LBH BRASIL,10/07/23
B101,9721425,FRIEDERIKE SCHULTE,IMPORTAÇÃO,BORESTE,179,38.709,FERTILIZANTES,12.000,10.5,AMART SERVICES,10/07/23
B102,9569968,MANDARIN SINGAPORE,IMPORTAÇÃO,BORESTE,190,56.724,CALCARIO,40.000,11.3,WILHELMSEN PORT SERVICES BRASIL LTDA,10/07/23
B103,9718739,ARSINOE,EXPORTAÇÃO,BORESTE,229,81.616,MILHO,73.975,7.9,CARGONAVE,10/07/23
B104,9848338,MARITIME TRANQUILITY,IMPORTAÇÃO,BOMBORDO,183,49.999,DIESEL,33.171,11.6,LBH BRASIL,10/07/23
B105,9587477,AM POINT LISAS,EXPORTAÇÃO,BORESTE,229,93.191,SOJA,70.000,9.14,FERTIMPORT,10/07/23
B106,9407407,HORIZON THEONI,IMPORTAÇÃO,BORESTE,183,49.997,GASOLINA,32.300,10,LACHMANN,10/07/23
B108,9418119,HORIZON ELECTRA,IMPORTAÇÃO,BOMBORDO,183,49.999,OUTRAS,17.568,10,NORTH STAR,10/07/23
B099,9832456,EUCALYPTUS,IMPORTAÇÃO,BORESTE,180,36.300,FERTILIZANTES,7.000,10.2,LBH BRASIL,13/07/23
