IMO,Navio,Operação,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Prev Chegada,Ultima Atualização
9423566,GREAT SEA,EXPORTAÇÃO,196,53.022,CELULOSE,140,10,WILSON SONS SHIPPING SERVICES LTDA,26/06/23,19/06/23
9638501,THOR CHAICHANA,IMPORTAÇÃO,197,58.605,FERTILIZANTES,47.350,11,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,08/07/23,19/06/23
9801718,SCARLETT MANX,IMPORTAÇÃO,200,63.878,FERTILIZANTES,21.650,11.5,WILSON SONS SHIPPING SERVICES LTDA,03/07/23,19/06/23
9732424,AMIS JUSTICE,IMPORTAÇÃO,200,63.531,MAP,40.000,10.2,ROCHAMAR,09/07/23,19/06/23
9534470,INDUSTRIAL MERCHANT,IMPORTAÇÃO,116,10.049,OUTROS,252.530,6.9,ORION RODOS,24/06/23,19/06/23
9717072,MEGHNA SUN,IMPORTAÇÃO,190,58,FERTILIZANTES,16.700,11.5,LBH BRASIL,20/07/23,19/06/23
9791963,INCHEON BAY,IMPORTAÇÃO,180,37.501,FERTILIZANTES,4.400,10.5,LBH BRASIL,29/06/23,19/06/23
9721425,FRIEDERIKE SCHULTE,IMPORTAÇÃO,179,38.709,FERTILIZANTES,12.000,10.5,AMART SERVICES,28/06/23,19/06/23
9727182,LOWLANDS HOPE,IMPORTAÇÃO,200,60.063,OUTS.ADUBOS/FERTILIZ.MINER.QUIM.C/NITROGENIO,19.600,10.5,WILSON SONS SHIPPING SERVICES LTDA,20/06/23,19/06/23
9719331,KIBO,IMPORTAÇÃO,182,38.896,FERTILIZANTES,14.251,8,LBH BRASIL,03/07/23,19/06/23
9832456,EUCALYPTUS,IMPORTAÇÃO,180,36.300,FERTILIZANTES,7.000,10.2,LBH BRASIL,07/07/23,19/06/23
9703514,GENTLE SEAS,IMPORTAÇÃO,200,63.350,FERTILIZANTES,14.950,7,WILHELMSEN PORT SERVICES BRASIL LTDA,17/07/23,19/06/23
9599004,SEAMEC GALLANT,IMPORTAÇÃO,180,32.289,MAP,6.862,9.5,ORION RODOS,09/07/23,19/06/23
9956185,GITA,EXPORTAÇÃO,229,82.136,SOJA,70.841,7,ALPHAMAR,23/06/23,19/06/23
9928372,HSL VEGAS,EXPORTAÇÃO,229,81.981,SOJA,72.000,7.4,ALPHAMAR,13/06/23,19/06/23
9597800,SYROS I,EXPORTAÇÃO,229,81.370,SOJA,65.000,6.9,FERTIMPORT,20/06/23,19/06/23
9481465,JOY,EXPORTAÇÃO,229,79.457,SOJA,65.000,7.65,FERTIMPORT,20/06/23,19/06/23
9589267,FARMER,EXPORTAÇÃO,229,81.541,SOJA,66.000,7.9,CARGONAVE,22/06/23,19/06/23
9597123,YASA FALCON,EXPORTAÇÃO,229,81.488,SOJA,69.300,7.1,L.M.A. SHIPPING & CONSULTING,21/06/23,19/06/23
9418444,KESARIA,EXPORTAÇÃO,229,81.932,SOJA,66.000,7,ALPHAMAR,25/06/23,19/06/23
9718739,ARSINOE,EXPORTAÇÃO,229,81.616,MILHO,73.500,7.9,CARGONAVE,30/06/23,19/06/23
9422940,MYRSINI,EXPORTAÇÃO,229,82.117,SOJA,66.000,7.2,LBH BRASIL,28/06/23,19/06/23
9749908,SAKIZAYA KALON,EXPORTAÇÃO,229,81.691,SOJA,78.830,7.4,LBH BRASIL,28/06/23,19/06/23
9758404,STALO,EXPORTAÇÃO,229,81.802,SOJA,71.102,6,LBH BRASIL,27/06/23,19/06/23
9468815,BOLERO,IMPORTAÇÃO,189,50.094,OLEO.COMBUSTÍVEL,4.000,9,LACHMANN,09/06/23,19/06/23
