IMO,Navio,Operação,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualizacao
9692674,VAN LEOPARD,IMPORTAÇÃO,198,60.263,CLINQUER,47.100,11.5,LBH BRASIL,19/06/23
9677375,MATISSE,EXPORTAÇÃO,229,81.129,SOJA,66.000,7.76,ALPHAMAR,19/06/23
9386407,SEA BRAVERY,IMPORTAÇÃO,190,58.722,MOP,49.431,11.6,ROCHAMAR,19/06/23
9569968,MANDARIN SINGAPORE,IMPORTAÇÃO,190,56.724,CALCARIO,40.000,11.3,WILHELMSEN PORT SERVICES BRASIL LTDA,19/06/23
9748368,LA STELLA,IMPORTAÇÃO,200,61.250,MOP,27.060,10.9,ORION RODOS,19/06/23
9801160,AMBER STAR,IMPORTAÇÃO,180,37.692,FERTILIZANTES,30.000,10.54,AMART SERVICES,19/06/23
9803417,WECO KAROLINE,IMPORTAÇÃO,180,38.905,MES9,19.000,6.78,ROCHAMAR,19/06/23
9659799,WL LADOGA,IMPORTAÇÃO,180,37.666,FERTILIZANTES,30.000,10,WILHELMSEN PORT SERVICES BRASIL LTDA,19/06/23
9596844,BARBOSA LIMA SOBRINHO,IMPORTAÇÃO,118,5.095,GLP,3.500,7,LACHMANN,19/06/23
9737060,KOUSHUN,IMPORTAÇÃO,200,60.297,OUTROS,5.250,9,WILSON SONS SHIPPING SERVICES LTDA,19/06/23
9420825,DOLFIJNGRACHT,IMPORTAÇÃO,157,17.967,TRILHOS,3.471,7.33,TRANSGLOBAL OPERACOES PORTUARIAS LTDA,19/06/23
9848077,SSI SPLENDID,IMPORTAÇÃO,200,63.510,SSP,10.800,11.5,ROCHAMAR,19/06/23
9628128,HANDY PERTH,EXPORTAÇÃO,180,35.177,CONCENTRADO.COBRE,27.500,8,GEM,19/06/23
9456343,JAG RISHI,EXPORTAÇÃO,190,56.719,FARELO,45.000,6,FERTIMPORT,19/06/23
9785988,DUKE SANTOS,EXPORTAÇÃO,229,81.982,SOJA,69.300,7.87,ALPHAMAR,19/06/23
